date,content,username
2023-03-30 15:39:07+00:00,น้องจอยแม่รักหนูนะคะรอแม่ก่อนนะเดี๋ยวแม่ไปหานะลูกชุดหนูเริ่ดเกินจะจัดธดดค่ะแม่ขอไปด่าผู้จัดก่อนนะคะหนูรอแม่แปปนึงนะคะ https://t.co/QgkRl4YZTC,aimdera
2023-03-30 15:38:55+00:00,"วิธีทำส้มตำซั่ว
ใส่พริกกับกระเทียมลงในครกตำพอหยาบ จากนั้นฝานมะเขือเทศตามลงตำให้พอเข้ากัน ปรุงรสด้วยน้ำปลาร้า น้ำปลา น้ำตาล ทราย ผงชูรส มะนาว และปูนา
ใส่เส้นมะละกอสับ และขนมจีน ตำเคล้าให้เครื่องปรุงทั้งหมดเข้ากันดี ชิมรสชาติและปรุงเพิ่มได้ตามใจชอบ จากนั้นตักใส่จานเลยจ้าอ่านต่อได้ท https://t.co/BhyFjnMVYe",nepjunnee
2023-03-30 15:38:52+00:00,แล้วบ้านกุมีโทสับหลายเครื่องอะ เฉพาะกุก็3แล้ว555555555555555 กุยืมพ่อแม่พี่น้องมาโหลดแอปเพื่อโหวตน้องซึงออนจนแม่ถามละว่าวันนี้จะยืมด้วยไหม55555555555555555,94withmaboy
2023-03-30 15:38:51+00:00,พออยู่คนเดียวได้โทสับก็สร้างปฏิสัมพันธ์กับคนอื่นให้บ่อยมากช่วงนี้,bambabymild
2023-03-30 15:38:50+00:00,"ซิปข้าง มีสับในสีดำ 

60 baht
#ส่งต่อเสื้อผ้ามือสอง #ส่งต่อเสื้อผ้า #เสื้อผ้ามือสอง #ส่งต่อเสื้อผ้ามือ2 #ส่งต่อเสื้อผ้าราคาถูก #โล๊ะตู้เสื้อผ้า #เสื้อไหมพรมมือสอง https://t.co/aqHcreMosZ",nongjwkong4me
2023-03-30 15:38:49+00:00,@QueenRun1 ไอแพดเข้าได้ๆๆแต่ตอนนี้โทรสับคัมแบคแระ,modmindismile_
2023-03-30 15:38:32+00:00,เกือบเศร้าละ ซีนโจอันกำลังหดหู่หนักมาก ตัดไปที่โยแจหันหลังสับตีนแตก 😂😂😂😂 ขำไม่ไหวละ แต่อีพีนี้ลูอีเซียเปลี่ยนคนอุ้ม เพิ่งตีกับคอนโดแมวก็งี้อ่ะ,AlayShi92
2023-03-30 15:38:19+00:00,@yop_peez มีดสับหัว,Temi_Cypher
2023-03-30 15:38:13+00:00,คอนเท้นหน้าทลตอนนี้มีแวยอนแมวดำ ยอนหมึกแดง สับสวิตยังไง,shallweyeonmeow
2023-03-30 15:37:45+00:00,ส่งเมวแจ้งบอสัดแม่สาขาเกาะแบบสับว่าออฟฟิศจะปิดช่วงสงกรานต์ ถ้ามีเรื่องด่วนให้จั่วหัวมาใน subject ว่าด่วนแล้วจะส่งคนไปช่วยให้ ถ้าไม่จั่วหัวมาจะตอบกลับหลังจากเปิดทำการแล้วตามลำดับ หัวหน้าเห็นแล้วเอ๊ะนี่เราบริษัทแม่เค้าหรือบริษัทสาขา กูตอบบอสัดสาขา แต่กูมันเบอร์ตอง,SundayRhapsody
