date,content,username
2023-03-30 14:02:32+00:00,"สิ่งที่ดีงามวันนี้มีแค่สองอย่าง คือ 1. จื่อฮ่าว on stage ดีมากกกกก เก่งจริงๆ เพลงไหนหน้าที่อะไรก็ได้หมด 2.เฮียทริกซ์มาหาน้อง นอกนั้นบูดดดดดดด 

#BOYSPLANET #WANGZIHAO https://t.co/pHrNndZByV",WF_PSTAR
2023-03-30 14:02:21+00:00,จำไว้เลยเวลาจะเอาอะไรมาบูชา ถ้าต้องบูชาด้วยเลือด เนื้อ หรืออะไรแปลก ๆ ให้ติ๊ต่างไว้ก่อนเลยว่าสายดำแน่ เพราะถ้าเป็นพระเป็นเทพ เค้าไม่อยากได้อะไรแบบนั้น เทพท่านมีทุกอย่างแล้ว ถวายแค่ผลไม้ ธูปหมดดอกก็ลาของไหว้มากินเองได้อย่าทิ้งไว้จนบูดนะ,PanKatze
2023-03-30 14:01:41+00:00,บูดเว่อวันนี้ เหนื่อยเกินกว่าจะสนทนากับใคร,hellofeb22
2023-03-30 13:58:50+00:00,"ประชุมออฟฟิศสิ่งที่จอยสุด คือ
การเจอทีม จอยมาก
โดยเฉพาะกะพี่เบสท์
จะไปร้านกาแฟ
ฟ้า : เอาไรไหม
พี่เบสท์ : เอาฝรั่ง
ฟ้า : เป็น คน หรือ เป็น ลูก
พี่เบสท์ : คน

นั่งประชุมอยู่ นางหยิบ
สารกันบูดส่งมา
""บูดดดดดดเว่อร์""

จริตพส. รักนาง
อยู่ด้วยแล้วรู้กัน",frhpanna
2023-03-30 13:58:27+00:00,เฟซกรุบูดมาก ทำไม..,jayzyyc
2023-03-30 13:58:27+00:00,พี่ต๊ะ หนูว่าพี่มีกลิ่น พี่จะบูดรึป่าววว #ใต้เงาตะวันep2,ticha_tisha
2023-03-30 13:58:15+00:00,บูด มาก โอ๊ย,0new4yt1cket
2023-03-30 13:57:08+00:00,+1 ไหว้ก่อนเปิดไม่ช่วยเลย บูดมาก🤣 ขอบคุณมากๆเลยนะค้าบ ขอให้เฮงๆปังๆ แตกเยอะๆเลยน๊า คืนนี้ฝันดีนะค้าบ🫶🏻🎀🌈✨#รีวิวให้VJ,whykm_
2023-03-30 13:56:53+00:00,คแนแทคใกล้บูดลพพ,patciiz_pm
2023-03-30 13:54:46+00:00,มุมกล้องแก้งการ์ด มุมกล้องบูด,0rorjj
2023-03-30 13:52:39+00:00,ไม่รู้นะ แต่ใครแสดงความคิดเห็นในเชิงตั้งคำถามตอนที่คนอื่นมีงาน มันบูดอ่า🤧,bluiidandelion
2023-03-30 13:49:39+00:00,อิเอ้ดเอมเล่นประเด็นดราม่าบ่อยมาก แล้วแม่งก็ชอบทำให้คนเค้าดูแย่ ตัดแต่ซีนแย่ๆ บูดดดด #BOYSPLANET,pockybp
2023-03-30 13:42:00+00:00,คิวว่างจะคอลแอดไลน์มาค่ะ💦🔥,BaemBud97694
2023-03-30 13:41:49+00:00,แม่จะสั่งมากินอย่างไงดีลูก กว่าจะข้ามน้ำข้ามทะเลมาไอติมอาจบูดหรือเหลือแต่กล่อง https://t.co/WqJyUUdV0X,Wava_17
2023-03-30 13:41:16+00:00,"เงี่ยนจนแฉะอยากเสร็จ😋🆔 bammmy20
 #เงี่ยน #คอลเสียว #โชว์หี #โชว์นม https://t.co/QaLYq0nhzr",BaemBud97694
2023-03-30 13:40:56+00:00,เสียดายอ่ะ สั่งน้ำปั่นมาละวิปครีมบูด เสียเงินฟรีเลย😭,mu_ngaeeeTT
2023-03-30 13:36:17+00:00,@Ch7HD คนเชียร์ให้กลับมารักหรือคนที่มองว่าโรแมนติกคือบูดนะ บูดแบบไม่มีอะไรมากั้นขวาง บ้ารึเปล่าเฮ้ยยนายยยมันไม่ได้เว้ย มันคุกคาม น่ากลัวชห.,ryomaajizen
2023-03-30 13:36:05+00:00,แอพนี้หนุดแค่ซซ.นี้เหอะ บูดไม่ไหว,somthrkk
2023-03-30 13:34:16+00:00,แอคนี้แบบบูดมากอ่ะ ไม่รู้ว่าหิวแสง หรือ นิสัย แอคติจูดแย่ ถึงชอบทวิตอะไรบูดๆแบบนี้ บ่อยด้วย ชอบหาเรื่อง,pinkguprim
2023-03-30 13:32:17+00:00,แล้วforestaเป็นอะไร ทำไมไม่ทำกันแดดออกมาขายเยอะๆ นิชไม่ไหวแล้วมั้ง เนี่ยหมดแล้วจะเอาไรใช้เนี่ย ตุนมากกันแดดบูดอีก จนใจ,JJoliere
2023-03-30 13:31:00+00:00,สถาพแวดล้อมบูดขนาดนี้ โยชิยังสวย จบ 555555555555555555,somethingnoisy
2023-03-30 13:29:04+00:00,ประเทศไทยมันบูดตั้งแต่รัฐบาลถึงวงการหนังเลยอะ,dekggp_0507
2023-03-30 13:28:34+00:00,เส้าใจที่คอนจัดที่ ธด ช๊อตฟิลด้วยการที่แม่ให้กินข้าวบูดอีก โถ่ะะชีวิต,makaroo2009
2023-03-30 13:24:59+00:00,กุที่วันนี้อารมบูดทั้งวันพึ่งจะได้เหนโมเม้นม้าคมิน คือแบบ😭😭😭😭😭,jjueaeee
2023-03-30 13:21:48+00:00,ปปสวยมากกกกก พี่บูดใจสลาย,taengabcz
2023-03-30 13:20:25+00:00,บูดมาก บูดสุดๆวันนี้ ทั้งชีวิตส่วนตัวและคอนน้องเค้ก กุแบบ แบดเดสัส,sevonbae
2023-03-30 13:19:02+00:00,แย่เนอะ วันนี้มันควรเป็นวันที่แฟนคลับจะรู้สึกแฮปปี้ ตื่นเต้นจะได้ไปดูคอนกันกลับต้องมานั่งบูดนั่งเซงกลับเรื่องควยหีแตดแบบนี้ อะไรก็ไม่รู้อีดอก ไม่มีอะไรได้ดั่งใจซักอย่าง ซวยตั้งแต่ได้วันจัดชนเลือกตั้งก็โดนเจิมแย่พอแล้ว ยังมาบุดกับเรื่องนี้อีกอีดอกส์ ได้ด่ากันจนวันคอนจริงค้ะกุว่า,ihyunchou
2023-03-30 13:18:19+00:00,โอ้ยเน็ตบูดมาก😫😫,nwnorwar
2023-03-30 13:14:42+00:00,เหงาชิบปุ๋ง วันๆน้ำลายบูด,iikidding
2023-03-30 13:13:53+00:00,@ppisacoustic มันบูดแ่าวแบบนั้น,Risaisblue
2023-03-30 13:12:39+00:00,ว้ากกกกกกก ตื่นเต้นนนนนนนน,taengabcz
2023-03-30 13:12:06+00:00,เงี่ยนๆทักไลน์มา bammmy20 #เงี่ยนหี #เสียวหี #อยากโดนเลียหี #อยากโดนเย็ด #เซ็กส์โฟน #คอลเสียว https://t.co/YMqBKOpI2u,BaemBud97694
2023-03-30 13:10:07+00:00,กุตกลงปลงใจดูต่อไปก่อนละกันถึงนางเอกจะบูดดดดดด,pc0832676_
